pairID,sentenceID,sentenceType,homophoneID,version,m1,word,condition,dummy
794,142,pun,62,b,prison,bifocals,17,1
842,149,pun,69,b,littering,suspiciously,17,1
890,159,pun,79,b,express,making,17,1
938,171,nonpun,11,a,wicker,made,17,1
986,185,nonpun,25,a,bonus,year,17,1
1034,197,nonpun,37,a,tolkien,rings,17,1
1082,210,nonpun,50,a,garden,small,17,1
1130,223,nonpun,63,a,fridge,milk,17,1
1178,236,nonpun,76,a,author,authors,17,1
1226,249,nonpun,9,b,mass,town,17,1
1274,263,nonpun,23,b,crime,fight,17,1
1322,277,nonpun,37,b,talking,friend,17,1
1370,290,nonpun,50,b,guarding,house,17,1
1418,304,nonpun,64,b,chief,leader,17,1
1466,317,nonpun,77,b,sauce,eat,17,1
1467,161,nonpun,1,a,line,company,17,1
1468,164,nonpun,4,a,hair,prince,17,1
1469,166,nonpun,6,a,ambulance,warmth,17,1
1470,168,nonpun,8,a,reward,reworded,17,1
1471,171,nonpun,11,a,wicked,made,17,1
1472,173,nonpun,13,a,world,dancers,17,1
1473,175,nonpun,15,a,lunch,took,17,1
1474,178,nonpun,18,a,feelings,dentist,17,1
1475,182,nonpun,22,a,spur,decided,17,1
1476,184,nonpun,24,a,pock,race,17,1
1477,185,nonpun,25,a,bones,year,17,1
1478,187,nonpun,27,a,screening,pulled,17,1
1479,189,nonpun,29,a,can't,philosopher,17,1
1480,191,nonpun,31,a,late,up,17,1
1481,193,nonpun,33,a,twist,away,17,1
1482,195,nonpun,35,a,leaving,pages,17,1
1483,197,nonpun,37,a,talking,rings,17,1
1484,200,nonpun,40,a,alcohol,out,17,1
1485,201,nonpun,41,a,slave,growing,17,1
1486,202,nonpun,42,a,aching,idol,17,1
1487,204,nonpun,44,a,ante,mother's,17,1
1488,207,nonpun,47,a,how's,corner,17,1
1489,210,nonpun,50,a,guarding,small,17,1
1490,211,nonpun,51,a,been,beans,17,1
1491,213,nonpun,53,a,lot,60-watt,17,1
1492,215,nonpun,55,a,crack,morning,17,1
1493,218,nonpun,58,a,traumatic,written,17,1
1494,221,nonpun,61,a,doubling,capital,17,1
1495,223,nonpun,63,a,bridge,milk,17,1
1496,225,nonpun,65,a,resolution,worked,17,1
